,href,jobs_title,min_price,max_price,currency,company_name,company_url,city
0,https://hh.ru/vacancy/47041138?from=vacancy_search_list&query=python,Стажер Big Data Engineer,,,,ISsoft Solutions,https://hh.ru/employer/774571,Минск
1,https://hh.ru/vacancy/46893200?from=vacancy_search_list&query=python,Python developer,,,,Oxagile,https://hh.ru/employer/763432,"Минск, Михалово"
2,https://hh.ru/vacancy/45507396?from=vacancy_search_list&query=python,Machine Learning Team Lead,,,,APALON,https://hh.ru/employer/592645,"Минск, Вокзальная и еще 2 "
3,https://hh.ru/vacancy/45610689?from=vacancy_search_list&query=python,Python developer,2500.0,3200.0,USD,B2Broker Москва,https://hh.ru/employer/2234168?dpt=2234168-2234168-msk,Минск
4,https://hh.ru/vacancy/46661373?from=vacancy_search_list&query=python,QA Automation Python,1500.0,2800.0,USD,ООО СофтКорп,https://hh.ru/employer/3981703,Минск
5,https://hh.ru/vacancy/46251657?from=vacancy_search_list&query=python,Python-разработчик,2300.0,,USD,УП ВЕБ СОЛЮШЕНС,https://hh.ru/employer/833818,Минск
6,https://hh.ru/vacancy/46774132?from=vacancy_search_list&query=python,Инженер-программист // Python Dyveloper,3000.0,5000.0,бел. руб.,ООО Асторекс Компани,https://hh.ru/employer/3022118,Минск
7,https://hh.ru/vacancy/46309315?from=vacancy_search_list&query=python,Junior+ Python Back End Developer,,2000.0,USD,ООО Проект Дилбай,https://hh.ru/employer/2052321,Минск
8,https://hh.ru/vacancy/47028680?from=vacancy_search_list&query=python,Fullstack Python Developer,3000.0,,USD,Nitka Technologies,https://hh.ru/employer/939874,Минск
9,https://hh.ru/vacancy/46989207?from=vacancy_search_list&query=python,Старший Программист Python (Senior/Middle),2500.0,,USD,ООО Телеком-ВИСТ,https://hh.ru/employer/1960996,Минск
10,https://hh.ru/vacancy/44270356?from=vacancy_search_list&query=python,Python developer,,,,Innowise Group / Фабрика инноваций и решений,https://hh.ru/employer/1858119,"Минск, Площадь Якуба Коласа"
11,https://hh.ru/vacancy/46913040?from=vacancy_search_list&query=python,Junior Data Analyst,,,,ООО ХЭППИ ГЕЙМС СТУДИО,https://hh.ru/employer/2832681,Минск
12,https://hh.ru/vacancy/46863563?from=vacancy_search_list&query=python,Python Engineer (Platform),,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
13,https://hh.ru/vacancy/45792077?from=vacancy_search_list&query=python,Junior Data Analyst,,,,ООО Изибрэйн,https://hh.ru/employer/2509716,"Минск, Молодежная"
14,https://hh.ru/vacancy/46554790?from=vacancy_search_list&query=python,Junior/Middle Python Back End Developer,,2000.0,USD,ООО Проект Дилбай,https://hh.ru/employer/2052321,Минск
15,https://hh.ru/vacancy/46597403?from=vacancy_search_list&query=python,Python Lead Developer,2000.0,3000.0,USD,E-comet,https://hh.ru/employer/5557093,Минск
16,https://hh.ru/vacancy/46896275?from=vacancy_search_list&query=python,Python Data Engineer,3000.0,,USD,RocketData,https://hh.ru/employer/3591220,"Минск, Восток и еще 1 "
17,https://hh.ru/vacancy/47010257?from=vacancy_search_list&query=python,Python Developer,,,,Andersen,https://hh.ru/employer/851604,Минск
18,https://hh.ru/vacancy/46913237?from=vacancy_search_list&query=python,Lead / Senior Python Developer,4500.0,,USD,RocketData,https://hh.ru/employer/3591220,"Минск, Восток и еще 1 "
19,https://hh.ru/vacancy/45688364?from=vacancy_search_list&query=python,Machine Learning Engineer (Data Scientist),,,,ООО Лайфтех,https://hh.ru/employer/4199338,Минск
20,https://hh.ru/vacancy/44686558?from=vacancy_search_list&query=python,Python/Go Developer (Central Services ),,,,"Wargaming, Minsk (Game Stream)",https://hh.ru/employer/662769?dpt=662769-662769-minsk,Минск
21,https://hh.ru/vacancy/44994494?from=vacancy_search_list&query=python,Python Web Developer at Tripledot Studios,,,,ООО Он Зэ Спот Девелопмент,https://hh.ru/employer/2509056,Минск
22,https://hh.ru/vacancy/46885769?from=vacancy_search_list&query=python,Software Test Engineer (Python),,,,ООО СК хайникс мемори солюшнс Восточная Европа,https://hh.ru/employer/1712281,"Минск, Немига"
23,https://hh.ru/vacancy/46897959?from=vacancy_search_list&query=python,Senior python developer/Boost team,3500.0,,USD,RocketData,https://hh.ru/employer/3591220,"Минск, Восток и еще 1 "
24,https://hh.ru/vacancy/45449932?from=vacancy_search_list&query=python,Python Engineer,,,,ООО Инспекторио Бел,https://hh.ru/employer/4270886,"Минск, Немига"
25,https://hh.ru/vacancy/46989207?from=vacancy_search_list&query=python,Старший Программист Python (Senior/Middle),2500.0,,USD,ООО Телеком-ВИСТ,https://hh.ru/employer/1960996,Минск
26,https://hh.ru/vacancy/46524369?from=vacancy_search_list&query=python,DevOps Engineer (Python),,,,Qulix Systems,https://hh.ru/employer/829490,"Минск, Спортивная"
27,https://hh.ru/vacancy/46758340?from=vacancy_search_list&query=python,Python Senior/TL,,,,ООО Неро Электроникс,https://hh.ru/employer/227572,Минск
28,https://hh.ru/vacancy/46336688?from=vacancy_search_list&query=python,Senior Python developer,,,,ООО Сенсотроника,https://hh.ru/employer/2806650,"Минск, Купаловская и еще 1 "
29,https://hh.ru/vacancy/46813280?from=vacancy_search_list&query=python,Программист Python Django,,,,УП ИЦТ ГОРИЗОНТ,https://hh.ru/employer/1076380,"Минск, Площадь Победы"
30,https://hh.ru/vacancy/46847207?from=vacancy_search_list&query=python,Senior Python Developer,,,,iTechArt Group,https://hh.ru/employer/666194,"Минск, Институт Культуры"
31,https://hh.ru/vacancy/46813490?from=vacancy_search_list&query=python,Разработчик SQL/Python,,,,Social Discovery Ventures,https://hh.ru/employer/9849?dpt=sdv-9849-sdv,"Минск, Восток и еще 1 "
32,https://hh.ru/vacancy/46789639?from=vacancy_search_list&query=python,Senior python developer | Sync team,3500.0,,USD,RocketData,https://hh.ru/employer/3591220,"Минск, Восток и еще 1 "
33,https://hh.ru/vacancy/45734627?from=vacancy_search_list&query=python,Senior Python Developer,,,,Innowise Group / Фабрика инноваций и решений,https://hh.ru/employer/1858119,Минск
34,https://hh.ru/vacancy/46789109?from=vacancy_search_list&query=python,Senior python developer | Feedback team,3500.0,,USD,RocketData,https://hh.ru/employer/3591220,Минск
35,https://hh.ru/vacancy/46156486?from=vacancy_search_list&query=python,Senior Python Разработчик,,,,Иностр. п. Admitad,https://hh.ru/employer/921918,Минск
36,https://hh.ru/vacancy/46061485?from=vacancy_search_list&query=python,Python Developer,,,,Scand,https://hh.ru/employer/604390,Минск
37,https://hh.ru/vacancy/46917291?from=vacancy_search_list&query=python,Senior Python Developer,,,,Exadel,https://hh.ru/employer/747381,Минск
38,https://hh.ru/vacancy/46751925?from=vacancy_search_list&query=python,Python Developer (Flask),,,,Nitka Technologies,https://hh.ru/employer/939874,Минск
39,https://hh.ru/vacancy/46306400?from=vacancy_search_list&query=python,Machine Learning Engineer,,,,21vek.by,https://hh.ru/employer/763400,Минск
40,https://hh.ru/vacancy/44259173?from=vacancy_search_list&query=python,Senior Python Developer for Imunify [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
41,https://hh.ru/vacancy/45276813?from=vacancy_search_list&query=python,Python Developer,,,,УП Руна Системс,https://hh.ru/employer/1395715,Минск
42,https://hh.ru/vacancy/45428460?from=vacancy_search_list&query=python,Python Developer,,,,iTechArt Group,https://hh.ru/employer/666194,"Минск, Институт Культуры"
43,https://hh.ru/vacancy/46052426?from=vacancy_search_list&query=python,Middle Python Developer for CloudLinux OS [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
44,https://hh.ru/vacancy/46638197?from=vacancy_search_list&query=python,Python системный программист,,300000.0,руб.,ООО АйТиКвик,https://hh.ru/employer/2639497,Минск
45,https://hh.ru/vacancy/46674102?from=vacancy_search_list&query=python,Data Scientist/Python Developer (remote),,,,Nitka Technologies,https://hh.ru/employer/939874,Минск
46,https://hh.ru/vacancy/46661358?from=vacancy_search_list&query=python,Python Developer,,,,Belitsoft,https://hh.ru/employer/754682,Минск
47,https://hh.ru/vacancy/46826981?from=vacancy_search_list&query=python,Python Developer,,,,LeverX International,https://hh.ru/employer/759873,Минск
48,https://hh.ru/vacancy/46342298?from=vacancy_search_list&query=python,Middle/Senior Python Developer for AlmaLinux [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
49,https://hh.ru/vacancy/44391852?from=vacancy_search_list&query=python,Senior Python Developer,,,,Altoros Bel,https://hh.ru/employer/570938,"Минск, Кунцевщина"
50,https://hh.ru/vacancy/46252849?from=vacancy_search_list&query=python,Middle developer C/Python on Linux - KernelCare [Remote],,,,Cloud Linux,https://hh.ru/employer/1245452,Минск
